,v_ego,line_left,line_right,d_target,v_target,act_lon_ego,act_lat_ego,line_left_target,line_right_target,act_lon_target,act_lat_target
0.0,28.038004062269177,1.6405640759137239,-1.3440183688685685,69.910291102274,21.991693589108085,c,fl,4.629250274993102,1.6446678302108093,c,fl
0.01,28.06359944760057,1.5844401890314292,-1.3317742930676035,69.82923688623355,22.02116625929328,c,fl,4.65211914870426,1.7359046666052274,c,fl
0.02,28.04666461450276,1.6128716743447749,-1.435879761116091,69.79161093892814,21.986154720767715,c,fl,4.694873285677369,1.6461218502165034,c,fl
0.03,28.062241467929574,1.593594748280983,-1.331668283993719,69.68326567640413,21.941584634040957,c,fl,4.712076451725974,1.7868134194512713,c,fl
0.04,28.15254487908228,1.6189808808023938,-1.2352808717188595,69.74391172762816,21.91120809787745,c,fl,4.762199936282254,1.9079381837610006,c,fl
0.05,28.11803635509148,1.692796573912453,-1.2580609595430794,69.69363250314412,21.90947363031876,c,fl,4.742398726847187,1.791541193391655,c,fl
0.06,28.137992902815796,1.655477388559862,-1.3336506862068016,69.6268138663179,21.874482481698607,c,fl,4.7535637553478685,1.764435680581205,c,fl
0.07,28.168491883962655,1.706088653280282,-1.4059059705381052,69.70977130027389,21.897846114561247,c,fl,4.847039160299664,1.735044536481277,c,fl
0.08,28.07431887907657,1.621584027891398,-1.3579407032756907,69.65715424408825,21.918862369862108,c,fl,4.67608698220168,1.6965622510345906,c,fl
0.09,28.04303365586407,1.4925753778190314,-1.4744825035042113,69.28897655730077,21.887723579475775,c,fl,4.505292509598913,1.5382346282756703,c,fl
0.1,28.12661903374777,1.5261305438869521,-1.4468216883781932,69.13249244124164,21.918956598044183,c,fl,4.502193589291091,1.5292413570259449,c,fl
0.11,28.061738742976605,1.5069082359791988,-1.422017703636075,68.9743217893372,21.851741435544618,c,fl,4.511320827641309,1.5823948880260348,c,fl
0.12,28.03156234304667,1.5412778556823152,-1.3851569822638206,68.92529810195877,21.7542534790346,c,fl,4.554938419617059,1.628503581670923,c,fl
0.13,28.10975038791799,1.6381182705583388,-1.4065865888918683,68.96578787542077,21.7878281388299,c,fl,4.6581931868158435,1.6134883273656369,c,fl
0.14,28.12412935902444,1.5979658630170246,-1.42870985233769,68.8648951777378,21.78687834821063,c,fl,4.563325643394735,1.5366499280400203,c,fl
0.15,28.12172959405813,1.6403624618489687,-1.380368362792165,68.71275989333778,21.791618481155805,c,fl,4.591762089787226,1.5710312651460923,c,fl
0.16,28.13842585128446,1.7001944045616886,-1.3842576988989925,68.7334888302612,21.829569095640153,c,fl,4.709023967638944,1.624571864178263,c,fl
0.17,28.120900980179368,1.6382736048398063,-1.2897271452276016,68.7914681122872,21.82861107991874,c,fl,4.6947671607028205,1.7667664106354128,c,fl
0.18,28.111348264660613,1.612842096628787,-1.3328230580106117,68.54134536953497,21.688998476814824,c,fl,4.618961842137587,1.6732966874981878,c,fl
0.19,28.148133569981823,1.66562777995579,-1.45382863234211,68.38949932273158,21.737995721351005,c,fl,4.642051213791328,1.5225948014934283,c,fl
0.2,28.023229402168443,1.6397163435855435,-1.4937585154966324,68.35752754122407,21.702705437148836,c,fl,4.662191136948298,1.528716277866122,c,fl
0.21,28.0239618831078,1.6974978032040988,-1.5042829588879887,68.31194371126253,21.733289471848884,c,fl,4.629806423937674,1.428025661845586,c,fl
0.22,28.133518327297356,1.5391994824291866,-1.405427850323427,68.20249077120425,21.741834945358207,c,fl,4.516702079632933,1.572074746880319,c,fl
0.23,28.067408521688247,1.5701227536266835,-1.3273680877906398,68.22170618265355,21.705211095810238,c,fl,4.636618978713588,1.7391281372962644,c,fl
0.24,28.210672494319425,1.6090149648405891,-1.3130953337375908,68.26654731699645,21.713863111832374,c,fl,4.639421193552137,1.7173108949739568,c,fl
0.25,28.094186860043088,1.6099351878332795,-1.3078492284875418,68.2751354111788,21.775520452010227,c,fl,4.712913432663328,1.7951290163425062,c,fl
0.26,28.129477351150463,1.5672445934979926,-1.347211291290452,68.33764698504109,21.725606051294154,c,fl,4.567510931804421,1.6530550470159757,c,fl
0.27,27.989331750748153,1.5481031651580037,-1.312121698048497,68.21010583030031,21.78844976678123,c,fl,4.525401613855672,1.6651767506491706,c,fl
0.28,28.049631626278707,1.622710035617555,-1.2556140675706289,68.05808556919435,21.831496108773944,c,fl,4.515840923901585,1.6375168207134017,c,fl
0.29,28.0057215391273,1.5921465697230872,-1.3936065183680812,68.00326810458785,21.830835931234333,c,fl,4.559627898706878,1.5738748106157094,c,fl
0.3,28.08470664964349,1.6052630038520328,-1.397722714418431,67.97136720239425,21.83299107831588,c,fl,4.656351512979237,1.6533657947087725,c,fl
0.31,28.024888002454787,1.5290079676444586,-1.4487240661300729,67.84896179871639,21.79367210654001,c,fl,4.58707144423699,1.6093394104624585,c,fl
